checkpoint,checkpoint_millions,family,method,display_method,config_label,n_scenarios,n_bootstrap,bootstrap_seed,observed_rrmse,bootstrap_mean_rrmse,bootstrap_median_rrmse,percentile_ci95_low,percentile_ci95_high,bias_correction_z0,acceleration,bca_alpha_low,bca_alpha_high,bca_ci95_low,bca_ci95_high
500000,0.5,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.18598820872507735,0.18552141428222788,0.18541776541578697,0.16059803348576474,0.21097060023559286,0.04407828753156582,0.04145461020017385,0.041740208408817245,0.9871161358620268,0.1634379275520045,0.21445819167817992
500000,0.5,gwas,samc,SAMC,5%,80,1000000,20260729,0.33354766966604205,0.3327428078032057,0.3326087830674931,0.28813259362435956,0.37819254034379846,0.04114286774438016,0.04229678759050198,0.04149124165087682,0.9870359073741957,0.2931922888532339,0.3844490195485068
500000,0.5,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.14329985201846376,0.14281881275863603,0.1427852002729917,0.11989201720531367,0.1658829091846177,0.04315497044739288,0.04298770202162906,0.04201794728878324,0.9872917768565411,0.12258091683636516,0.16909901715325562
500000,0.5,hep,samc,SAMC,5%,80,1000000,20260729,0.14200657480356063,0.14166272950896808,0.14167676251342634,0.12238884051691791,0.1608223829751611,0.03353243622767006,0.033410232930269616,0.03783294172194926,0.9849691387944812,0.12417923134605827,0.16288395072663364
750000,0.75,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.14920202933868187,0.1488189779162566,0.14891836779565873,0.12726756898744931,0.1697771699955499,0.025896364229682133,0.027097845428857216,0.03500419746207268,0.9831941141789863,0.12893106930591888,0.1714960969669102
750000,0.75,gwas,samc,SAMC,5%,80,1000000,20260729,0.3525101825166826,0.35145777713348036,0.3510515557197825,0.29918100751587445,0.4059827967594881,0.05304004663886119,0.052555559954256675,0.046461015150104874,0.9893944328655162,0.3063468663292901,0.4157110217032349
750000,0.75,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.11144174226004538,0.11091327640046549,0.110556110212158,0.09089818108995718,0.13293466043363775,0.08119358638600484,0.08053073676071117,0.060489574474541855,0.9941964252087436,0.09469069524349286,0.13966618372524522
750000,0.75,hep,samc,SAMC,5%,80,1000000,20260729,0.13778563145127262,0.13735689043565924,0.13716045994425713,0.1167164062141555,0.15909136751211117,0.05810875587551348,0.05820100929316281,0.049042417501857054,0.9904802633375734,0.11978846756163454,0.1634703560718352
1000000,1.0,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.13096751998052145,0.13061615388290204,0.13064622110949395,0.11175020706188436,0.14925877619164232,0.033216425117850924,0.033210148634445574,0.037730045919800635,0.9849086879299492,0.11349394163619525,0.15121644085939065
1000000,1.0,gwas,samc,SAMC,5%,80,1000000,20260729,0.24320191926426246,0.2427523003873941,0.242487754485336,0.21449056092592547,0.2723970678587874,0.04889873121265639,0.04812648807202786,0.04445229449526696,0.988479785407401,0.21807451837649106,0.27732768555933834
1000000,1.0,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.10413667318612686,0.10378566711270006,0.10377928046590529,0.08716823409493862,0.12049231301189657,0.04244996237794245,0.04257454068729936,0.0417849128288833,0.9871754250610837,0.08910344712346384,0.12280584224186517
1000000,1.0,hep,samc,SAMC,5%,80,1000000,20260729,0.12191948582050248,0.12168668289729417,0.12171363014452533,0.10733426782305154,0.1358863187504086,0.028065387457682136,0.026624960433283162,0.03520034722919381,0.9832984618868207,0.1084461373458553,0.1370603527871008
1250000,1.25,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.1191603574873573,0.11886047929810459,0.11892140603457882,0.10222035721663578,0.1351577523291262,0.028085448388626432,0.028634437183175557,0.03573128005013244,0.9836659728695731,0.10358023347309109,0.13661843712460844
1250000,1.25,gwas,samc,SAMC,5%,80,1000000,20260729,0.2268003108435126,0.22615347555491563,0.22609986635842272,0.1926595861539193,0.2600197468638282,0.041137850243493694,0.042270969491267386,0.04148319627566799,0.98703141875293,0.1964571112742698,0.26460690079828164
1250000,1.25,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.09112231457739627,0.09087491827761326,0.09093708085452618,0.07780062907915714,0.10359412750059886,0.027889854792816502,0.026615364696387953,0.03517188780123855,0.9832812830793226,0.0788118960027763,0.10465286875004248
1250000,1.25,hep,samc,SAMC,5%,80,1000000,20260729,0.111882292390863,0.11161499492128112,0.11158325897185098,0.09663239880408615,0.12676932426166318,0.03869444793760996,0.039379003229218126,0.040280497759537216,0.9863812096051899,0.09822687686200472,0.12869364178069798
1500000,1.5,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.10667377690218603,0.10640134284596185,0.10642154939543241,0.09120896168989091,0.12151295523249885,0.032767494395722276,0.03428104405791749,0.03794921680532595,0.9850574353505872,0.09264360592302609,0.12313813707246442
1500000,1.5,gwas,samc,SAMC,5%,80,1000000,20260729,0.2049392696280618,0.204227368771958,0.20404938689301083,0.17149452981041827,0.23808145345249251,0.05206613086462923,0.052807582489517814,0.04636180686720381,0.9893687273481601,0.17599339504361752,0.2440956663446538
1500000,1.5,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.08652127570126171,0.0863194164612789,0.08630565150109201,0.07455702695388643,0.09818572850941176,0.03633906641948036,0.038383183482683006,0.039627853661970434,0.9860361798415187,0.07577326721111365,0.09963779874149727
1500000,1.5,hep,samc,SAMC,5%,80,1000000,20260729,0.10695984788340658,0.106747761435053,0.10670867491804018,0.09355495917242243,0.12018118474348033,0.036880861092624,0.038120170467082076,0.03964219757857119,0.9860343241084422,0.09490482867155157,0.12183700810421279
1750000,1.75,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.09950946055076805,0.09924512435819313,0.09917039753676561,0.0850850158074594,0.11383474515634075,0.04631397603240762,0.04734513446110403,0.04378486462273344,0.9881872425341747,0.08685161777025727,0.11614701895821265
1750000,1.75,gwas,samc,SAMC,5%,80,1000000,20260729,0.2157603666396599,0.215015244355422,0.21490625954506223,0.18018257498645823,0.25045278639632496,0.0476364275312893,0.047206387763145216,0.04397132830527447,0.9882565292782182,0.18456910182160344,0.25599772564247253
1750000,1.75,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.08260982574508093,0.08241803960780923,0.08243229678406136,0.07118853116870094,0.09354386803973434,0.03127026988893056,0.03134170182916724,0.03692976986320905,0.9844209053106712,0.07216350285862388,0.09464206617469392
1750000,1.75,hep,samc,SAMC,5%,80,1000000,20260729,0.09470967587956523,0.09440939254209244,0.09429933898950393,0.08001962317603177,0.10944940343695397,0.05442068377809246,0.05538840869266017,0.047538601533103436,0.9898776896835487,0.0820769830356544,0.11229947471430062
2000000,2.0,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.08649804595924329,0.08626771601294889,0.08623221995839585,0.07414804919563123,0.09858635365683377,0.042439926829025566,0.041345475686186184,0.041438800294292914,0.9869790832373537,0.07552350494885728,0.10025332884245462
2000000,2.0,gwas,samc,SAMC,5%,80,1000000,20260729,0.17410802655181468,0.17366079599000278,0.17362961875194347,0.1494678963049525,0.19800612487314145,0.03888760358527066,0.038521048673456675,0.04007460423286952,0.9862548942794214,0.15204093328168458,0.20104649107672673
2000000,2.0,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07913242707637076,0.07892962214012826,0.07893489963546993,0.06770045374930234,0.09013027424806125,0.034192057545420845,0.035651223348904616,0.03854231541775831,0.985407236031725,0.06879380455807595,0.0913775055707494
2000000,2.0,hep,samc,SAMC,5%,80,1000000,20260729,0.09575088328584644,0.09546267306795621,0.09532101486427358,0.08134667879891425,0.11036509421556119,0.057317851863106686,0.057665235988867615,0.04873794632317512,0.9903621414375,0.08341555685363157,0.11333673208891576
2250000,2.25,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.09039058551695506,0.09017941405890141,0.09016606576542736,0.07831262642995349,0.10215561446493635,0.03672534485418144,0.03728196299025046,0.03938743451244174,0.9858824223428153,0.07952666838752558,0.10357556829955573
2250000,2.25,gwas,samc,SAMC,5%,80,1000000,20260729,0.1633172976392296,0.16297866190423932,0.1629340564326605,0.1426349250058597,0.1835317891679239,0.03690343610451149,0.037595830110247586,0.03950187507646299,0.985948712268074,0.14471993950474454,0.1860318678421434
2250000,2.25,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07382720939479022,0.07361123599532023,0.07362573594325422,0.06242742098600919,0.08470245536282865,0.035027264852961135,0.03582861095983113,0.03872174275702271,0.9855039233949179,0.06354811812133843,0.08594640620089287
2250000,2.25,hep,samc,SAMC,5%,80,1000000,20260729,0.07815798995470502,0.07795978590557544,0.07799920171418864,0.06697026334848936,0.08873169427953637,0.02827101253673581,0.02898243448308876,0.035850699657644494,0.9837449353513951,0.06787773533378344,0.08969234880373984
2500000,2.5,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.08655022549031595,0.08634164368199573,0.08633206863074341,0.07456900846673023,0.09822076330525571,0.03591516969978565,0.038005240718162005,0.03945663118717657,0.9859402793921221,0.07576525135027753,0.0996495502992634
2500000,2.5,gwas,samc,SAMC,5%,80,1000000,20260729,0.14978747304694834,0.14941180710032212,0.14937244170579816,0.12879810616499449,0.17022114534913194,0.038870043921093125,0.039024670766797206,0.04021090467961825,0.9863363968800982,0.13098503972420902,0.17288160937038197
2500000,2.5,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07145110706095953,0.07124776937746603,0.07128434795031906,0.060536293227643354,0.08178461946593105,0.030369962817851613,0.032254548679909095,0.03703618008710587,0.984506651555266,0.061510044370030485,0.0828181644104738
2500000,2.5,hep,samc,SAMC,5%,80,1000000,20260729,0.08403099451274046,0.08372568984467663,0.08357717335153703,0.06998561293525535,0.09828241452911898,0.06221451950041775,0.06317169903414133,0.05129972253297835,0.9913565258259202,0.07215409849562777,0.10153996378205002
2750000,2.75,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07854564465230253,0.07836792196917713,0.07829272981603104,0.06830902735701817,0.08881878254238772,0.048078099606390846,0.046408486743894604,0.04381860067687124,0.9881661431807295,0.06956650011216339,0.09046305946909315
2750000,2.75,gwas,samc,SAMC,5%,80,1000000,20260729,0.13674979432489098,0.1362791125411019,0.13595029082847632,0.11508087311477855,0.15927238424151202,0.07012018617821364,0.07036702345239809,0.05503204606108633,0.992626528419693,0.11870776878359485,0.16528980041442173
2750000,2.75,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.06855207569667728,0.06840271765143972,0.06842953228568771,0.05951112409628854,0.07715842712261119,0.02734320140310186,0.026316770224576826,0.0350131024071372,0.98317835740977,0.060188371101478275,0.0778798150975977
2750000,2.75,hep,samc,SAMC,5%,80,1000000,20260729,0.07196529996773375,0.07169374216438174,0.07155143518327006,0.05990361852130485,0.08429638213261512,0.06552751450605239,0.06721773022518515,0.05316389111422793,0.9920292162617376,0.06186011300684978,0.08729463273557764
