family,method,swap_fraction,gamma_label,config_label,checkpoint,checkpoint_millions,cross_scenario_rrmse
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",500000,0.5,0.18598820872507735
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",750000,0.75,0.14920202933868187
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1000000,1.0,0.13096751998052145
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1250000,1.25,0.1191603574873573
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1500000,1.5,0.10667377690218605
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1750000,1.75,0.09950946055076805
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2000000,2.0,0.08649804595924329
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2250000,2.25,0.09039058551695506
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2500000,2.5,0.08655022549031594
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2750000,2.75,0.07854564465230253
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3000000,3.0,0.08007613985390408
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3250000,3.25,0.08063701841506002
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3500000,3.5,0.0799624144129052
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3750000,3.75,0.07570551263959588
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4000000,4.0,0.0711462226357226
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4250000,4.25,0.07373724936422771
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4500000,4.5,0.07139356004402556
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4750000,4.75,0.06938915785323153
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",5000000,5.0,0.06837256565389338
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",500000,0.5,0.2066053437510757
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",750000,0.75,0.16565248773483315
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1000000,1.0,0.137159602541168
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1250000,1.25,0.11806885023039415
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1500000,1.5,0.11059870539418443
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1750000,1.75,0.10404383125613506
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2000000,2.0,0.09665656392623526
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2250000,2.25,0.0859223243723757
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2500000,2.5,0.08811280621170511
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2750000,2.75,0.08242501311558223
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3000000,3.0,0.07804516047060236
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3250000,3.25,0.07694230750522163
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3500000,3.5,0.07492773810186718
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3750000,3.75,0.0745145510838565
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4000000,4.0,0.07562608156082785
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4250000,4.25,0.07304466513185184
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4500000,4.5,0.06892094045573453
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4750000,4.75,0.06807590338102269
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",5000000,5.0,0.06760119241329353
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",500000,0.5,0.20451940182798042
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",750000,0.75,0.16020798152607207
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",1000000,1.0,0.1354021187082625
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",1250000,1.25,0.1085146434803052
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",1500000,1.5,0.09615994437308505
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",1750000,1.75,0.09460439162343774
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",2000000,2.0,0.09078057814398192
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",2250000,2.25,0.08384618160071222
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",2500000,2.5,0.0955383997813537
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",2750000,2.75,0.08834553395615502
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",3000000,3.0,0.08498156252694514
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",3250000,3.25,0.08427180681190646
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",3500000,3.5,0.0861644846115288
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",3750000,3.75,0.08485586557680971
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",4000000,4.0,0.08271876774097654
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",4250000,4.25,0.07646555162958103
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",4500000,4.5,0.07484150449371298
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",4750000,4.75,0.07256223574229463
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",5000000,5.0,0.07122011512690453
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",500000,0.5,0.22600936926866957
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",750000,0.75,0.16180817748521695
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1000000,1.0,0.14567561802863552
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1250000,1.25,0.13315669658883267
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1500000,1.5,0.11043519061066072
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1750000,1.75,0.09933935173891395
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2000000,2.0,0.10236001933822789
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2250000,2.25,0.09824199715957002
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2500000,2.5,0.09520822295555324
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2750000,2.75,0.09432004194582645
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3000000,3.0,0.08676722196180695
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3250000,3.25,0.08260918023477384
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3500000,3.5,0.07820883414412103
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3750000,3.75,0.07149782423728257
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4000000,4.0,0.06821023687506123
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4250000,4.25,0.06507550492535064
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4500000,4.5,0.060663548271921934
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4750000,4.75,0.06602353621602827
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",5000000,5.0,0.07927219361749605
gwas,samc,0.05,none,SAMC: 5%,500000,0.5,0.33354766966604205
gwas,samc,0.05,none,SAMC: 5%,750000,0.75,0.3525101825166826
gwas,samc,0.05,none,SAMC: 5%,1000000,1.0,0.24320191926426246
gwas,samc,0.05,none,SAMC: 5%,1250000,1.25,0.2268003108435126
gwas,samc,0.05,none,SAMC: 5%,1500000,1.5,0.2049392696280618
gwas,samc,0.05,none,SAMC: 5%,1750000,1.75,0.2157603666396599
gwas,samc,0.05,none,SAMC: 5%,2000000,2.0,0.17410802655181468
gwas,samc,0.05,none,SAMC: 5%,2250000,2.25,0.1633172976392296
gwas,samc,0.05,none,SAMC: 5%,2500000,2.5,0.1497874730469483
gwas,samc,0.05,none,SAMC: 5%,2750000,2.75,0.13674979432489098
gwas,samc,0.05,none,SAMC: 5%,3000000,3.0,0.14992790177661633
gwas,samc,0.05,none,SAMC: 5%,3250000,3.25,0.13950805738188962
gwas,samc,0.05,none,SAMC: 5%,3500000,3.5,0.12521907619346578
gwas,samc,0.05,none,SAMC: 5%,3750000,3.75,0.13093009984267337
gwas,samc,0.05,none,SAMC: 5%,4000000,4.0,0.13319382290744958
gwas,samc,0.05,none,SAMC: 5%,4250000,4.25,0.13000926413711852
gwas,samc,0.05,none,SAMC: 5%,4500000,4.5,0.10795707743153869
gwas,samc,0.05,none,SAMC: 5%,4750000,4.75,0.10927535518153302
gwas,samc,0.05,none,SAMC: 5%,5000000,5.0,0.10952849031274654
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",500000,0.5,0.14329985201846376
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",750000,0.75,0.11144174226004538
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1000000,1.0,0.10413667318612689
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1250000,1.25,0.09112231457739627
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1500000,1.5,0.08652127570126171
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",1750000,1.75,0.08260982574508094
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2000000,2.0,0.07913242707637076
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2250000,2.25,0.07382720939479022
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2500000,2.5,0.07145110706095953
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",2750000,2.75,0.06855207569667726
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3000000,3.0,0.06545697572991671
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3250000,3.25,0.06160422053804979
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3500000,3.5,0.05678910857680242
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",3750000,3.75,0.05269785888944558
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4000000,4.0,0.04683586488141355
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4250000,4.25,0.04458728123908809
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4500000,4.5,0.04284564759607587
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4750000,4.75,0.042617377595121866
