family,method,method_rank,swap_fraction,gamma_label,config_label,mean_cross_scenario_rrmse,selection_minimum_checkpoint,selection_maximum_checkpoint,n_selection_checkpoints
gwas,mcmc_is_no_oracle,1,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",0.09494240502505132,500000,5000000,19
gwas,mcmc_is_no_oracle,2,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",0.0975233720335772,500000,5000000,19
gwas,mcmc_is_no_oracle,3,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",0.09873689838326345,500000,5000000,19
gwas,mcmc_is_no_oracle,4,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",0.10130961924231312,500000,5000000,19
gwas,samc,1,0.05,none,SAMC: 5%,0.175593234488744,500000,5000000,19
hep,mcmc_is_no_oracle,1,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",0.07204607062348828,500000,5000000,19
hep,mcmc_is_no_oracle,2,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",0.07401861397824679,500000,5000000,19
hep,mcmc_is_no_oracle,3,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",0.0785812653268471,500000,5000000,19
hep,mcmc_is_no_oracle,4,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",0.08107456338995131,500000,5000000,19
hep,samc,1,0.05,none,SAMC: 5%,0.08664513294791916,500000,5000000,19
