threshold_band,p_half,checkpoint,budget_millions,n_scenarios,n_bootstrap,bootstrap_seed,bootstrap_pairing,observed_rrmse,bca_ci95_low,bca_ci95_high,percentile_ci95_low,percentile_ci95_high,bootstrap_mean_rrmse,bootstrap_median_rrmse,bca_bias_correction_z0,bca_acceleration,bca_alpha_low,bca_alpha_high
significant,Lower p-value half,250000,0.25,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,1.1959346904028645,0.9261015556925275,1.8075411775958643,0.8538682043625024,1.5827766576267215,1.1803501740234206,1.170381783997656,0.1352730401171793,0.13003340067489796,0.09020432279964641,0.9987156507580123
significant,Lower p-value half,500000,0.5,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,1.0015620946291282,0.8063032312088987,1.3909415704185493,0.7545156821071582,1.2686113102168872,0.9925990217394838,0.9862761572281764,0.11036236391360131,0.10966154027800082,0.07674013941063591,0.9973546898759992
significant,Lower p-value half,750000,0.75,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.7927594631066381,0.653726400977402,0.9787938779221856,0.6306875631674914,0.9486046876957941,0.7885192909107299,0.788226684244088,0.05558049903797241,0.056441184910372505,0.048058674130406,0.9900928178396379
significant,Lower p-value half,1000000,1.0,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.7004476386273883,0.5873611431178876,0.8626422461442075,0.5663846001317878,0.8328183128109332,0.6970672591322796,0.696169411943943,0.0628122638681071,0.06356836090081174,0.051532995118015526,0.9914387324517981
significant,Lower p-value half,1250000,1.25,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.5958541855067038,0.49657968751108955,0.7299528374770358,0.4798397870100404,0.7082223288201658,0.5929126078916606,0.5925159083017497,0.0570040110286871,0.05632858061594502,0.048284087872548266,0.9901627335020525
significant,Lower p-value half,1500000,1.5,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.5398201697562515,0.4384489524711466,0.7175676979027148,0.4128342018227393,0.6705143676933788,0.5357043848777423,0.5337145041580197,0.0899939783415853,0.09196678858818293,0.06608784437076981,0.9955544797928922
significant,Lower p-value half,1750000,1.75,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.5504542458142184,0.41781986398042503,0.8046989387229164,0.38068974821427093,0.7247524500342224,0.5431504478677269,0.5402394688986922,0.1116587341843187,0.11130794807263673,0.07761848330324558,0.9974774048090042
significant,Lower p-value half,2000000,2.0,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.5038321615589104,0.3975515118860126,0.6812757782095048,0.37111949731970323,0.6363697778216201,0.4991613759448764,0.4977263529796834,0.08793542571974057,0.08929477470742218,0.06476233138608616,0.9952585432757668
significant,Lower p-value half,2250000,2.25,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.44442418892324687,0.349072567692017,0.5988540321042201,0.325871684974178,0.5609774368297799,0.44023903276006754,0.43919974033615783,0.08567849218030897,0.08544362591978563,0.06302298516123621,0.9948353406357402
significant,Lower p-value half,2500000,2.5,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.425622352597529,0.321219413880184,0.5805071625464218,0.2968080054171614,0.5461669746266661,0.42076481478787175,0.4205306904048537,0.07897312427830275,0.07846767703870515,0.059368590338675906,0.9938990726016125
significant,Lower p-value half,2750000,2.75,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.42163190714405213,0.32729567285176914,0.5528640617943118,0.3082352192441119,0.5279350107112565,0.41784637638110195,0.41772796480630936,0.06837640995615799,0.06761367341026338,0.05383925036640585,0.9922206024300542
significant,Lower p-value half,3000000,3.0,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.37674155211818555,0.28126950898764624,0.5124969156996112,0.25936027070749956,0.48443805041472693,0.37229078157034967,0.3723969248556355,0.07563687307981906,0.07395904601741589,0.05725917887791967,0.9932823079975216
significant,Lower p-value half,3250000,3.25,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.35592668698098895,0.2571421436170965,0.5562150395238334,0.22986278038971827,0.4865130460128029,0.3494927177394646,0.3470702271860281,0.12870636343690878,0.1244367791294801,0.08648907310984977,0.9984156538467414
significant,Lower p-value half,3500000,3.5,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.3145200550818612,0.22107280835855495,0.4870308158222427,0.19721947373281082,0.43100357249286086,0.308556818600785,0.30706841451510536,0.11540009962667826,0.11694038721826386,0.08047549569095436,0.9978539517670985
significant,Lower p-value half,3750000,3.75,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.27894980559609933,0.20639863259578853,0.39230685898986833,0.1879358658894378,0.3643262110352923,0.27527432309333927,0.27490212584856877,0.08740449067412376,0.0877396925557863,0.06414094478171524,0.9951039529611343
significant,Lower p-value half,4000000,4.0,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.25141757423400646,0.1909825771973412,0.3439838381764947,0.17662646370995147,0.3224749451488989,0.2486205795319671,0.24832172835680033,0.08143753451689006,0.08222796868337658,0.061083371457423714,0.9943717441246194
significant,Lower p-value half,4250000,4.25,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.2515633363717466,0.198976957690387,0.3319559180573648,0.18707083055651413,0.3142535736379252,0.24944654397251997,0.24902262913297102,0.07752990765781582,0.07795241173764036,0.058906161169328015,0.9937857242355275
significant,Lower p-value half,4500000,4.5,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.23091998564902874,0.18522210448667675,0.29690874997864997,0.1759799442017601,0.2839704100452816,0.2292578926434636,0.2290311551051351,0.06766036640890052,0.06935063450523135,0.05423368232253851,0.9923890454173361
significant,Lower p-value half,4750000,4.75,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.2453919771177785,0.19390635796428005,0.3257610349289217,0.18191763153147356,0.3072896075230157,0.24326135194760976,0.24278680899024052,0.07973754238019928,0.08052231348961017,0.060181265591146185,0.9941368722166288
significant,Lower p-value half,5000000,5.0,40,1000000,20280803,same resampled scenario rows at every checkpoint within curve,0.24832828232398194,0.19559595535554902,0.3245440207327063,0.18456202407911196,0.3091316315160383,0.24626795996863396,0.2460667371868882,0.06987393407804926,0.07115435276029355,0.05522709647034955,0.9927045437123145
significant,Higher p-value half,250000,0.25,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.8700015796179386,0.5820268397322867,1.5061347070474618,0.5083359824028058,1.255263494743223,0.8461828988165266,0.8447138838520888,0.15282535779600886,0.14371789187567469,0.09996824293080103,0.9992809611707374
significant,Higher p-value half,500000,0.5,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.4703025830141166,0.3783530448661175,0.5958527075139111,0.3615836760936008,0.5740357132849623,0.46720562669184873,0.4670561799406271,0.059391855474001824,0.06157878011897688,0.050289619611328225,0.9909974343094793
significant,Higher p-value half,750000,0.75,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.27190879164144693,0.21877098485599228,0.34549663373947725,0.20882313913699319,0.3323726045361053,0.27011246290841395,0.2699623141128509,0.061127083453100826,0.06329447334884301,0.051131349026747576,0.991312855069507
significant,Higher p-value half,1000000,1.0,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.24778582551757086,0.204580493948501,0.3036417893945579,0.19801391600182053,0.29540788306001875,0.2465796318625434,0.2465546454246356,0.04924506265724922,0.052567009990949244,0.04579433325203939,0.9891541335355761
significant,Higher p-value half,1250000,1.25,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.24437901235422743,0.20813894216973047,0.2917487639930464,0.20282106149679827,0.28491645280518474,0.2435030959836383,0.24338188004205225,0.047729278272758725,0.04903170030379224,0.04451061973822581,0.9885362660654924
significant,Higher p-value half,1500000,1.5,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.21647792931789392,0.18270688392624101,0.2514371970720354,0.18036551673064863,0.24926979938894245,0.21577843872353092,0.21610021361595952,0.021375647006879057,0.022023435505913222,0.03304337160485927,0.981830671707112
significant,Higher p-value half,1750000,1.75,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.19890009426402563,0.1695327918310648,0.22968018694161993,0.16744224155408977,0.22769999902252192,0.19829807003582792,0.19855057433783455,0.022275740947092917,0.02298831301276115,0.0334176075067021,0.9820983997785732
significant,Higher p-value half,2000000,2.0,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.2007090007631816,0.16989548310162128,0.23472050119120805,0.16706812013597247,0.23182644260348412,0.20002242011266014,0.20022476332681827,0.029657759657406604,0.029677608777995496,0.03624257752509035,0.983988900358553
significant,Higher p-value half,2250000,2.25,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.1860219257809653,0.15611067968204842,0.22556512196796108,0.15135455946102055,0.2195398741288686,0.18519404873070036,0.1851057054065417,0.05253049170533306,0.0530336221279537,0.04651016191417004,0.9894302091905138
significant,Higher p-value half,2500000,2.5,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.18314335833769016,0.15505919798809406,0.2125099160984617,0.15305690239389885,0.21059332782306564,0.1825555222226472,0.1828064541591417,0.022634279173303067,0.022743288283037955,0.033405995926546105,0.9820849731423209
