threshold_band,checkpoint,budget_millions,error_type,n_scenarios,n_errors,error_rate
significant,250000,0.25,False-negative rate,80,0,0.0
significant,500000,0.5,False-negative rate,80,0,0.0
significant,750000,0.75,False-negative rate,80,0,0.0
significant,1000000,1.0,False-negative rate,80,0,0.0
significant,1250000,1.25,False-negative rate,80,0,0.0
significant,1500000,1.5,False-negative rate,80,0,0.0
significant,1750000,1.75,False-negative rate,80,0,0.0
significant,2000000,2.0,False-negative rate,80,0,0.0
significant,2250000,2.25,False-negative rate,80,0,0.0
significant,2500000,2.5,False-negative rate,80,0,0.0
significant,2750000,2.75,False-negative rate,80,0,0.0
significant,3000000,3.0,False-negative rate,80,0,0.0
significant,3250000,3.25,False-negative rate,80,0,0.0
significant,3500000,3.5,False-negative rate,80,0,0.0
significant,3750000,3.75,False-negative rate,80,0,0.0
significant,4000000,4.0,False-negative rate,80,0,0.0
significant,4250000,4.25,False-negative rate,80,0,0.0
significant,4500000,4.5,False-negative rate,80,0,0.0
significant,4750000,4.75,False-negative rate,80,0,0.0
significant,5000000,5.0,False-negative rate,80,0,0.0
non_significant,250000,0.25,False-positive rate,80,2,0.025
non_significant,500000,0.5,False-positive rate,80,0,0.0
non_significant,750000,0.75,False-positive rate,80,0,0.0
non_significant,1000000,1.0,False-positive rate,80,0,0.0
non_significant,1250000,1.25,False-positive rate,80,0,0.0
non_significant,1500000,1.5,False-positive rate,80,0,0.0
non_significant,1750000,1.75,False-positive rate,80,0,0.0
non_significant,2000000,2.0,False-positive rate,80,0,0.0
non_significant,2250000,2.25,False-positive rate,80,0,0.0
non_significant,2500000,2.5,False-positive rate,80,0,0.0
non_significant,2750000,2.75,False-positive rate,80,0,0.0
non_significant,3000000,3.0,False-positive rate,80,0,0.0
non_significant,3250000,3.25,False-positive rate,80,0,0.0
non_significant,3500000,3.5,False-positive rate,80,0,0.0
non_significant,3750000,3.75,False-positive rate,80,0,0.0
non_significant,4000000,4.0,False-positive rate,80,0,0.0
non_significant,4250000,4.25,False-positive rate,80,0,0.0
non_significant,4500000,4.5,False-positive rate,80,0,0.0
non_significant,4750000,4.75,False-positive rate,80,0,0.0
non_significant,5000000,5.0,False-positive rate,80,0,0.0
