family,method,checkpoint,checkpoint_millions,n_scenarios,rrmse,median_are,mean_phat_over_p,mean_relative_bias,false_negative_count,false_negative_rate
gwas,mcmc_is_no_oracle,500000,0.5,80,0.18598820872507735,0.13956259019695394,0.9917280951896685,-0.008271904810331342,16,0.2
gwas,samc,500000,0.5,80,0.33354766966604205,0.23235049833887034,0.9397657981339715,-0.06023420186602837,19,0.2375
hep,mcmc_is_no_oracle,500000,0.5,80,0.14329985201846376,0.08915482756483745,1.0150216019478124,0.015021601947812374,16,0.2
hep,samc,500000,0.5,80,0.14200657480356063,0.0973306151734033,0.9714890405584684,-0.028510959441531526,13,0.1625
gwas,mcmc_is_no_oracle,750000,0.75,80,0.14920202933868187,0.09773664889929412,0.9998941880045455,-0.0001058119954544981,17,0.2125
gwas,samc,750000,0.75,80,0.3525101825166826,0.2620317911553322,1.0113774927075618,0.01137749270756166,26,0.325
hep,mcmc_is_no_oracle,750000,0.75,80,0.11144174226004538,0.07697315493871265,0.9988010573880981,-0.0011989426119018403,9,0.1125
hep,samc,750000,0.75,80,0.13778563145127262,0.09758964148108495,0.9694230340938489,-0.030576965906151145,8,0.1
gwas,mcmc_is_no_oracle,1000000,1.0,80,0.13096751998052145,0.08022525983156248,0.9957721373369874,-0.004227862663012496,14,0.175
gwas,samc,1000000,1.0,80,0.24320191926426246,0.18753522374120413,0.9361537735798976,-0.06384622642010243,19,0.2375
hep,mcmc_is_no_oracle,1000000,1.0,80,0.10413667318612689,0.06542381300278904,1.004072351207617,0.0040723512076171866,6,0.075
hep,samc,1000000,1.0,80,0.12191948582050248,0.108289946418406,0.973753840560127,-0.02624615943987285,9,0.1125
gwas,mcmc_is_no_oracle,1250000,1.25,80,0.1191603574873573,0.07680046505958571,0.9922410870089738,-0.0077589129910261515,16,0.2
gwas,samc,1250000,1.25,80,0.2268003108435126,0.1664844276784575,0.9785263685811039,-0.021473631418896265,16,0.2
hep,mcmc_is_no_oracle,1250000,1.25,80,0.09112231457739627,0.04815591179858969,1.004071767389559,0.004071767389559026,5,0.0625
hep,samc,1250000,1.25,80,0.111882292390863,0.08686970949689254,0.977568419484184,-0.022431580515815952,8,0.1
gwas,mcmc_is_no_oracle,1500000,1.5,80,0.10667377690218605,0.073600382705106,1.0021760461769698,0.0021760461769697163,14,0.175
gwas,samc,1500000,1.5,80,0.2049392696280618,0.12824433466635304,0.9748937385180589,-0.025106261481941172,15,0.1875
hep,mcmc_is_no_oracle,1500000,1.5,80,0.08652127570126171,0.063508296376309,1.0077099415538886,0.007709941553888473,4,0.05
hep,samc,1500000,1.5,80,0.10695984788340658,0.08140493436301188,0.9695897967503943,-0.0304102032496057,5,0.0625
gwas,mcmc_is_no_oracle,1750000,1.75,80,0.09950946055076805,0.06717683661180252,0.9978794178262802,-0.002120582173719833,17,0.2125
gwas,samc,1750000,1.75,80,0.2157603666396599,0.14386243386243386,0.9774107210215146,-0.022589278978485457,16,0.2
hep,mcmc_is_no_oracle,1750000,1.75,80,0.08260982574508094,0.06357982534626017,1.003568365108025,0.003568365108025065,3,0.0375
hep,samc,1750000,1.75,80,0.09470967587956523,0.07140209897068323,0.9916644076846701,-0.008335592315329937,7,0.0875
gwas,mcmc_is_no_oracle,2000000,2.0,80,0.08649804595924329,0.06557724436145651,1.0013380565417809,0.0013380565417808687,11,0.1375
gwas,samc,2000000,2.0,80,0.17410802655181468,0.12023174439281825,0.9750019613614572,-0.02499803863854269,15,0.1875
hep,mcmc_is_no_oracle,2000000,2.0,80,0.07913242707637076,0.059398749877040524,0.996548789829939,-0.0034512101700610322,2,0.025
hep,samc,2000000,2.0,80,0.09575088328584644,0.07020219789089566,0.9905292997960888,-0.009470700203911185,7,0.0875
gwas,mcmc_is_no_oracle,2250000,2.25,80,0.09039058551695506,0.06524091807265547,1.009568331998791,0.009568331998790947,14,0.175
gwas,samc,2250000,2.25,80,0.1633172976392296,0.12455570887955014,0.9785339497172177,-0.021466050282782156,14,0.175
hep,mcmc_is_no_oracle,2250000,2.25,80,0.07382720939479022,0.04678828579865091,0.9984974242014942,-0.001502575798505805,3,0.0375
hep,samc,2250000,2.25,80,0.07815798995470502,0.05150397157674147,0.98473002282552,-0.015269977174479787,7,0.0875
gwas,mcmc_is_no_oracle,2500000,2.5,80,0.08655022549031594,0.06494232836514718,1.0082330572726552,0.008233057272655254,11,0.1375
gwas,samc,2500000,2.5,80,0.1497874730469483,0.10891755923401497,0.9888713184763303,-0.011128681523669732,15,0.1875
hep,mcmc_is_no_oracle,2500000,2.5,80,0.07145110706095953,0.045874090576225046,1.0005120744513067,0.0005120744513069416,2,0.025
hep,samc,2500000,2.5,80,0.08403099451274046,0.05392963870944656,0.9915888388723431,-0.008411161127656847,5,0.0625
gwas,mcmc_is_no_oracle,2750000,2.75,80,0.07854564465230253,0.06336877665171403,1.003479069874184,0.003479069874184175,10,0.125
gwas,samc,2750000,2.75,80,0.13674979432489098,0.1090823607214636,1.0222500484076396,0.02225004840763948,19,0.2375
hep,mcmc_is_no_oracle,2750000,2.75,80,0.06855207569667726,0.04715170350293735,1.0057828331380243,0.005782833138024178,4,0.05
